Total,Abertas,Fechadas,Faixa
"2719","2615","104","2012-07-01 23:59:59 até 2013-01-01 23:59:59"
"2519","2448","71","2012-01-01 23:59:59 até 2012-07-01 23:59:59"
"1626","1567","59","2011-07-01 23:59:59 até 2012-01-01 23:59:59"
"1360","1316","44","2011-01-01 23:59:59 até 2011-07-01 23:59:59"
"945","908","37","2010-07-01 23:59:59 até 2011-01-01 23:59:59"
"717","693","24","2010-01-01 23:59:59 até 2010-07-01 23:59:59"
"513","486","27","2009-07-01 23:59:59 até 2010-01-01 23:59:59"
"335","310","25","2009-01-01 23:59:59 até 2009-07-01 23:59:59"
"162","139","23","2008-07-01 23:59:59 até 2009-01-01 23:59:59"
"0","0","0","2008-01-01 00:00:00 até 2008-07-01 23:59:59"